Islam Makhachev: -186	-53	-560	-320	-307	-201	-273	-153

Gadzhimurad Antigulov: -13	161	-229	-131	-94	35	-46	58
Ion Cutelaba: 36	220	131	229	111	248	46	150

John Makdessi: 8	167	-261	-149	-74	52	-9	74
Ross Pearson: 6	165	149	261	85	210	9	92

Alex Davis: -40	130	76	76	12	143	-44	53
Katlyn Chookagian: 24	214	-133	-76	-24	123	44	140

Dustin Ortiz: 79	259	72	72	108	237	87	187
Matheus Nicolau: -57	91	-126	-72	-92	13	-87	13

Randa Markos: 120	331	-120	-68	58	224	116	234
Nina Ansaroff: -66	109	68	120	-15	122	-116	1

Devin Powell: -98	-56	-560	-320	-414	-391	-34	-23
Alvaro Herrera: -36	30	320	560	340	376	34	45



TJ Dillashaw: -297	-192	-122	-70	-277	-189	-255	-162
Cody Garbrandt: 566	835	70	122	502	727	255	347

Demetrious Johnson: -850	-590	-662	-378	-866	-651	-622	-415
Henry Cejudo: 1667	2362	378	662	1545	2122	622	829

Cub Swanson: 31	215	72	72	60	208	29	127
Renato Moicano: -20	154	-125	-72	-51	90	-29	70

Polyana Viana: -274	-83	-286	-163	-314	-178	-178	-81
JJ Aldrich: 317	655	163	286	344	583	178	274

Thiago Santos: -217	-136	-666	-380	-394	-333	-331	-204
Kevin Holland: 512	695	380	666	618	757	331	458

Pedro Munhoz: -111	-33	-286	-163	-186	-127	-162	-83
Brett Johns: 180	318	163	286	237	340	162	241

Ricky Simon: -48	38	-297	-170	-185	-130	-51	-3
Montel Jackson: 26	133	170	297	171	239	51	98

Ricardo Ramos: -135	-38	-286	-163	-218	-151	-205	-109
Kyung Ho Kang: 225	397	163	286	281	401	205	300

Matt Sayles: -85	-2	120	120	61	113	-101	-45
Sheymon Moraes: 65	189	-210	-120	-73	4	101	156

Alex Perez: 160	397	-74	-42	69	225	74	178
Jose Torres: -91	91	42	74	-24	96	-74	31

Danielle Taylor: 187	331	163	163	268	359	199	266
Weili Zhang: -154	-95	-286	-163	-248	-210	-199	-133

Marlon Vera: -253	-107	-691	-395	-514	-420	-280	-164
Wuliji Buren: 346	632	395	691	574	758	280	397



Dillashaw: -278	-178	0	0	-278	-178	-255	-162
Garbrandt: 526	779	0	0	526	779	255	347

Johnson: -804	-560	0	0	-804	-560	-622	-415
Cejudo: 1586	2240	0	0	1586	2240	622	829

Swanson: 31	215	0	0	31	215	29	127
Moicano: -20	154	0	0	-20	154	-29	70

Viana: -258	-74	0	0	-258	-74	-178	-81
Aldrich: 298	621	0	0	298	621	178	274

Santos: -217	-136	0	0	-217	-136	-331	-204
Holland: 512	695	0	0	512	695	331	458

Munhoz: -111	-33	0	0	-111	-33	-162	-83
Johns: 180	318	0	0	180	318	162	241

Simon: -90	-26	0	0	-90	-26	-119	-64
Jackson: 105	216	0	0	105	216	119	175

Sayles: -85	-2	0	0	-85	-2	-101	-45
Moraes: 65	189	0	0	65	189	101	156

Perez: 160	397	0	0	160	397	74	178
Torres: -91	91	0	0	-91	91	-74	31

Ramos: -135	-38	0	0	-135	-38	-205	-109
Ho Kang: 225	397	0	0	225	397	205	300

Taylor: 187	331	0	0	187	331	199	266
Zhang: -154	-95	0	0	-154	-95	-199	-133

Vera: -253	-107	0	0	-253	-107	-280	-164
Buren: 346	632	0	0	346	632	280	397

Werdum: -200	-145	0	0	-200	-145	-298	-199
Volkov: 400	563	0	0	400	563	298	397

Manuwa: -116	-51	0	0	-116	-51	-191	-113
Blachowicz: 230	349	0	0	230	349	191	270

Duquesnoy: -306	-245	0	0	-306	-245	-409	-273
Ware: 758	954	0	0	758	954	409	545

Edwards: -107	-77	0	0	-107	-77	-166	-106
Sobatta: 221	305	0	0	221	305	166	226

Phillips: -134	-84	0	0	-134	-84	-132	-88
Byrd: 82	216	0	0	82	216	132	176

Roberts: -165	-88	0	0	-165	-88	-235	-140
Enkamp: 349	515	0	0	349	515	235	330

Henry: 24	133	0	0	24	133	86	126
Dawudo: -91	-34	0	0	-91	-34	-86	-47

Craig: 250	457	0	0	250	457	190	294
Ankalaev: -153	-30	0	0	-153	-30	-190	-86

Ray: -163	-106	0	0	-163	-106	-217	-145
Johnson: 211	371	0	0	211	371	217	290

Godbeer: 87	228	0	0	87	228	59	139
Sosnovskiy: -28	98	0	0	-28	98	-59	21

Namajunas: 94	259	0	0	94	259	90	176
Jedrzejczyk: -57	75	0	0	-57	75	-90	-5

Moicano: -21	66	0	0	-21	66	0	36
Kattar: -24	66	0	0	-24	66	0	36

Kowalkiewicz: -129	-46	0	0	-129	-46	-172	-100
Herrig: 156	310	0	0	156	310	172	245

Lauzon: -115	-24	0	0	-115	-24	-163	-89
Gruetzemacher: 125	277	0	0	125	277	163	237

Dunham: -96	13	0	0	-96	13	-115	-46
Aubin-Mercier: 95	252	0	0	95	252	115	185

Rawlings: 448	723	0	0	448	723	334	446
Evans-Smith: -290	-181	0	0	-290	-181	-334	-223

Clark: -153	-96	0	0	-153	-96	-150	-100
Rodriquez: 113	245	0	0	113	245	150	200

Magomedsharipov: -581	-353	0	0	-581	-353	-528	-352
Bochniak: 854	1413	0	0	854	1413	528	704

Nurmagomedov: 23	675	0	0	23	675	0	200
Iaquinta: 23	675	0	0	23	675	0	200

Poirier: -11	106	0	0	-11	106	-10	54
Gaethje: 28	151	0	0	28	151	10	74

Condit: 146	286	0	0	146	286	130	203
Oliviera: -96	-13	0	0	-96	-13	-130	-57

Adesanya: -139	-72	0	0	-139	-72	-232	-142
Vettori: 266	409	0	0	266	409	232	323

Waterson: -70	30	0	0	-70	30	-53	7
Casey: 90	234	0	0	90	234	53	113

